"Blocking Key Value","Frequency"
"DOYOWA","153"
"FOYO","144"
"GI,ON","140"
"AD","132"
"SW","130"
"CI,GL","125"
"KI,DOLEME","120"
"INEYO","117"
"NE","116"
"OV","115"
"PA","2964"
"WE,THWAYO","112"
"AN","2565"
"HY","110"
"CR","2542"
"FA","2175"
"MO","2160"
"MI","2088"
"HA","2020"
"BR","1975"
"DA","1848"
"UN","1820"
"ST","7470"
"SU","5215"
"MA","4785"
"RE","4422"
"HO","3968"
"HE","3751"
"CH","3663"
"CO","3618"
"CA","3480"
"SO","3150"
"IN","1760"
"SH","1717"
"BE","1672"
"LO","1648"
"SE","1640"
"TR","1494"
"TO","1426"
"WA","1394"
"BA","1296"
"GO","1281"
"DE","1274"
"ME","1273"
"DR","1224"
"PE","1197"
"DI","1184"
"SA","1152"
"AL","1134"
"RO","1064"
"LI","1024"
"BL","1020"
"BO","1014"
"PR","1008"
"WO","896"
"DO","885"
"FI","867"
"FR","850"
"FO","806"
"HU","768"
"WI","767"
"SI","754"
"BU","684"
"TE","671"
"RI","663"
"RU","645"
"NO","638"
"LA,IDOWA","612"
"EV","574"
"GR","558"
"SP","550"
"RA","540"
"FE","494"
"LE","470"
"CL","459"
"NI,PO","448"
"LU,TH,YO","430"
"AM","414"
"WH","407"
"TA","344"
"JU","324"
"HI","320"
"JO","286"
"JA,NA","280"
"SL","270"
"JE","253"
"ILOYO","234"
"HOON","228"
"FL","225"
"WHDOYO","220"
"BI,GA","217"
"CE,VE,IWATO","216"
"TI","210"
"EL","196"
"VI","192"
"ALIWA,WIYO","189"
"IM","182"
"EM,SM","176"
"IWAYO","175"
"PH","161"
