"Blocking Key Value","Frequency"
"DOLEME","340"
"JE","322"
"AR","320"
"IWABE","315"
"OV","299"
"NI","288"
"EN,IM","286"
"CI","275"
"SC","273"
"HECOTH,IWATO","270"
"MO","5160"
"YO","258"
"PA","4788"
"DOYOWA","255"
"AN","4750"
"LO","4738"
"DE","4368"
"HA","4141"
"SH","4040"
"UN","4004"
"SA","3840"
"BE","3784"
"SU","12069"
"ST","11952"
"RE","11926"
"CO","9648"
"MA","9425"
"HO","7040"
"HE","6776"
"CA","6240"
"CH","5772"
"SO","5418"
"BL","3485"
"IN","3360"
"SE","3280"
"BA","3240"
"BR","3081"
"FA","3075"
"MI","3045"
"TR","2988"
"CR","2952"
"RO","2660"
"DA","2464"
"ME","2345"
"WA","2296"
"DR,PR","2232"
"TO","2108"
"LI","1984"
"GO","1952"
"DI","1924"
"WI","1770"
"IDOWA","1768"
"FO","1736"
"BO","1716"
"BU","1710"
"FR","1700"
"TE","1586"
"SI","1566"
"PO","1536"
"AL","1512"
"SP","1450"
"GR","1364"
"WO","1344"
"PE","1323"
"AM,RA","1242"
"FI","1224"
"CL","1122"
"FL","1080"
"LA","1071"
"DO","1062"
"RU","989"
"NO","986"
"EV","984"
"LE","940"
"WH","814"
"LU","774"
"HI,SL","720"
"TA","688"
"NA","665"
"RI","663"
"TH","645"
"HU","576"
"EL","560"
"JU","540"
"FE","532"
"JA","504"
"ILOYO","494"
"SW","468"
"BI","465"
"WHDOYO","460"
"TI","455"
"VI","416"
"GA","403"
"PI","384"
"CE","378"
"NE","377"
"SM","374"
"JO","364"
"ALIWA","357"
"IWAYO","350"
