"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Album_Name","0.4","Album_Name-{deezer_11455+deezer_11456+deezer_5332+musico_6860+musico_6861}","deezer_11455+deezer_11456+deezer_5332+musico_6860+musico_6861","{Live On the Edge of Forever|Live On the Edge of Forever|Life On The Ropes|Livin' On The Fault Line|Livin' On The Fault Line}","Life On The Ropes",,
"Album_Name","1.0","Album_Name-{deezer_10738+musico_2171+musico_2172}","deezer_10738+musico_2171+musico_2172","{A Different Me|A Different Me|A Different Me}","A Different Me",,
"Album_Name","0.6666666666666666","Album_Name-{deezer_23504+musico_677+musico_678}","deezer_23504+musico_677+musico_678","{Monterey|Montevallo|Montevallo}","Monterey",,
"Album_Name","0.3333333333333333","Album_Name-{deezer_22957+deezer_2390+deezer_6230+deezer_6231+deezer_6288+musico_11249}","deezer_22957+deezer_2390+deezer_6230+deezer_6231+deezer_6288+musico_11249","{Eternity|Eternal|Ethernaut|Ethernaut|Eternity|Eternal}","Eternal",,
"Album_Name","1.0","Album_Name-{deezer_14592+musico_481}","deezer_14592+musico_481","{The Click|The Click}","The Click",,
"Album_Name","1.0","Album_Name-{deezer_20038+musico_7099}","deezer_20038+musico_7099","{Wasn't Tomorrow Wonderful?|Wasn't Tomorrow Wonderful?}","Wasn't Tomorrow Wonderful?",,
"Album_Name","0.17647058823529413","Album_Name-{deezer_11785+deezer_13275+deezer_14794+deezer_16981+deezer_24261+deezer_25080+deezer_7766+musico_2432+musico_3500+musico_3501+musico_6157+musico_6158+musico_7360+musico_7361+musico_8809+musico_9534+musico_9535}","deezer_11785+deezer_13275+deezer_14794+deezer_16981+deezer_24261+deezer_25080+deezer_7766+musico_2432+musico_3500+musico_3501+musico_6157+musico_6158+musico_7360+musico_7361+musico_8809+musico_9534+musico_9535","{Faith|Fantasia|Faded|Family|Fanmail|Faithfully|Favorites|Fall|Faithfully|Faithfully|Fahrenheit|Fahrenheit|Faces|Faces|Fantasy|Fancy|Fancy}","Fall",,
"Album_Name","0.6666666666666666","Album_Name-{deezer_12378+deezer_13243+musico_2229}","deezer_12378+deezer_13243+musico_2229","{Keeps Gettin' Better: A Decade Of Hits|Keeps Gettin' Better: A Decade of Hits|Keeps Gettin' Better: A Decade of Hits}","Keeps Gettin' Better: A Decade of Hits",,
"Album_Name","0.8","Album_Name-{deezer_6699+musico_2623+musico_2624+musico_2625+musico_2626}","deezer_6699+musico_2623+musico_2624+musico_2625+musico_2626","{All the Right Wrongs|All the Right Reasons|All the Right Reasons|All the Right Reasons|All the Right Reasons}","All the Right Wrongs",,
"Album_Name","1.0","Album_Name-{deezer_15862+deezer_17889+deezer_5992+musico_4672+musico_4673+musico_4674}","deezer_15862+deezer_17889+deezer_5992+musico_4672+musico_4673+musico_4674","{Music Box|Music Box|Music Box|Music Box|Music Box|Music Box}","Music Box",,
"Album_Name","0.3333333333333333","Album_Name-{deezer_19631+deezer_21890+deezer_6490+musico_4861+musico_4862+musico_4999}","deezer_19631+deezer_21890+deezer_6490+musico_4861+musico_4862+musico_4999","{Collections|Collections|Cold|Connected|Connected|Collection}","Cold",,
"Album_Name","1.0","Album_Name-{deezer_20416+deezer_24605+deezer_24608+deezer_24619+deezer_24732+deezer_25949+musico_10899}","deezer_20416+deezer_24605+deezer_24608+deezer_24619+deezer_24732+deezer_25949+musico_10899","{A Hard Day's Night (Remastered)|A Hard Day's Night (Remastered)|A Hard Day's Night (Remastered)|A Hard Day's Night (Remastered)|A Hard Day's Night (Remastered)|A Hard Day's Night (Remastered)|A Hard Day's Night (Remastered)}","A Hard Day's Night (Remastered)",,
"Album_Name","1.0","Album_Name-{deezer_19864+musico_10682}","deezer_19864+musico_10682","{Forever Man|Forever Man}","Forever Man",,
"Album_Name","1.0","Album_Name-{deezer_18660+deezer_18716+musico_5486+musico_5487+musico_5488+musico_5489}","deezer_18660+deezer_18716+musico_5486+musico_5487+musico_5488+musico_5489","{In My Eyes|In My Eyes|In My Eyes|In My Eyes|In My Eyes|In My Eyes}","In My Eyes",,
"Album_Name","0.5","Album_Name-{deezer_22782+deezer_23275+musico_10739+musico_10740}","deezer_22782+deezer_23275+musico_10739+musico_10740","{Dear Annie|Destination Anywhere|Desolation Angels|Desolation Angels}","Dear Annie",,
