"RecordIDS","AverageConsistency","Release_Date -Consistency","Release_Date -Values","Album_Genres-Consistency","Album_Genres-Values","Track_Name-Consistency","Track_Name-Values","Album_Name-Consistency","Album_Name-Values","Artists-Consistency","Artists-Values","Duration-Consistency","Duration-Values","Tempo-Consistency","Tempo-Values","Album_Type-Consistency","Album_Type-Values"
"deezer_17809+musico_4490+spotify_41063","0.6666666666666666","0.6666666666666666","{2019-11-29T00:00|1995-05-30T00:00|1995-05-30T00:00}","0.0","{[Rap/Hip Hop]|[east coast hip hop]|[]}","1.0","{Craziest|Craziest|Craziest}","0.6666666666666666","{Poverty's Paradise (25th Anniversary - Remastered)|Poverty's Paradise|Poverty's Paradise}","1.0","{[naughty by nature]|[naughty by nature]|[naughty by nature]}","1.0","{244.0|248.0}","0.0","{0.0|99.46900177001953}","1.0","{album|album|album}"
"musico_5308+spotify_41731","0.75","1.0","{2002-07-02T00:00|2002-07-02T00:00}","0.0","{[adult standards]|[]}","1.0","{You're Not Alone|You're Not Alone}","0.0","{The Very Best Of: Only The Beginning|The Very Best of Chicago: Only the Beginning}","1.0","{[chicago]|[chicago]}","1.0","{240.0}","1.0","{104.02899932861328}","1.0","{compilation|compilation}"
"deezer_8941+musico_4666+musico_4668+spotify_2849+spotify_789","0.7666666666666666","0.8","{2007-03-29T00:00|1993-01-01T00:00|1993-01-01T00:00|1993-01-01T00:00|1993-01-01T00:00}","0.4","{[Rock]|[album rock]|[album rock]|[]|[]}","0.6","{Crazy|Crazy|Cryin'|Cryin'|Crazy}","1.0","{Get A Grip|Get A Grip|Get A Grip|Get A Grip|Get A Grip}","1.0","{[aerosmith]|[aerosmith]|[aerosmith]|[aerosmith]|[aerosmith]}","0.6666666666666666","{316.0|308.0|316.0}","0.6666666666666666","{162.10000610351562|105.87200164794922|162.08599853515625}","1.0","{album|album|album|album|album}"
"musico_6037+spotify_42380","0.875","1.0","{1986-02-04T00:00|1986-02-04T00:00}","0.0","{[dance pop]|[]}","1.0","{What Have You Done For Me Lately|What Have You Done For Me Lately}","1.0","{Control|Control}","1.0","{[janet jackson]|[janet jackson]}","1.0","{300.0}","1.0","{114.05500030517578}","1.0","{album|album}"
"musico_1005+spotify_38519","0.875","1.0","{2013-01-22T00:00|2013-01-22T00:00}","0.0","{[contemporary country]|[]}","1.0","{Goodnight Kiss|Goodnight Kiss}","1.0","{How Country Feels|How Country Feels}","1.0","{[randy houser]|[randy houser]}","1.0","{206.0}","1.0","{111.02400207519531}","1.0","{album|album}"
"musico_6385+spotify_42682","0.875","1.0","{1984-11-15T00:00|1984-11-15T00:00}","0.0","{[disco]|[]}","1.0","{Fresh|Fresh}","1.0","{Emergency (Reissue)|Emergency (Reissue)}","1.0","{[kool & the gang]|[kool & the gang]}","1.0","{266.0}","1.0","{117.70800018310547}","1.0","{album|album}"
"deezer_14609+musico_506+spotify_38232","0.75","1.0","{2017-05-26T00:00|2017-05-26T00:00|2017-05-26T00:00}","0.0","{[R&B]|[pop]|[]}","1.0","{Run Me Dry|Run Me Dry|Run Me Dry}","1.0","{True to Self|True to Self|True to Self}","1.0","{[bryson tiller]|[bryson tiller]|[bryson tiller]}","1.0","{169.0|169.0}","0.0","{97.05000305175781|193.8800048828125}","1.0","{album|album|album}"
"musico_3632+spotify_40454","0.875","1.0","{2001-05-14T00:00|2001-05-14T00:00}","0.0","{[dance rock]|[]}","1.0","{Dream On|Dream On}","1.0","{Exciter (Deluxe)|Exciter (Deluxe)}","1.0","{[depeche mode]|[depeche mode]}","1.0","{260.0}","1.0","{128.00100708007812}","1.0","{album|album}"
"deezer_14913+musico_701+spotify_38335","0.875","1.0","{2015-11-13T00:00|2015-11-13T00:00|2015-11-13T00:00}","0.0","{[Pop]|[canadian pop]|[]}","1.0","{Been You|Been You|Been You}","1.0","{Purpose (Deluxe)|Purpose (Deluxe)|Purpose (Deluxe)}","1.0","{[justin bieber]|[justin bieber]|[justin bieber]}","1.0","{199.0|199.0}","1.0","{112.95999908447266|113.02100372314453}","1.0","{album|album|album}"
"musico_2025+spotify_39271","0.875","1.0","{2009-01-01T00:00|2009-01-01T00:00}","0.0","{[chicago rap]|[]}","1.0","{Imma Star (Everywhere We Are)|Imma Star (Everywhere We Are)}","1.0","{Jeremih|Jeremih}","1.0","{[jeremih]|[jeremih]}","1.0","{261.0}","1.0","{148.072998046875}","1.0","{album|album}"
