"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongArtistsComparatorMaximumOfContainment record1Value","[0] SongArtistsComparatorMaximumOfContainment record2Value","[0] SongArtistsComparatorMaximumOfContainment record1PreprocessedValue","[0] SongArtistsComparatorMaximumOfContainment record2PreprocessedValue","[0] SongArtistsComparatorMaximumOfContainment similarity","[0] SongArtistsComparatorMaximumOfContainment postproccesedSimilarity","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record1Value","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record2Value","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record1PreprocessedValue","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record2PreprocessedValue","[1] SongTrackAnomalityComparatorLevenshteinSimilarity similarity","[1] SongTrackAnomalityComparatorLevenshteinSimilarity postproccesedSimilarity","[2] SongDateComparator2Years record1Value","[2] SongDateComparator2Years record2Value","[2] SongDateComparator2Years record1PreprocessedValue","[2] SongDateComparator2Years record2PreprocessedValue","[2] SongDateComparator2Years similarity","[2] SongDateComparator2Years postproccesedSimilarity","[3] AlbumTitleComparatorLevenshtein record1Value","[3] AlbumTitleComparatorLevenshtein record2Value","[3] AlbumTitleComparatorLevenshtein record1PreprocessedValue","[3] AlbumTitleComparatorLevenshtein record2PreprocessedValue","[3] AlbumTitleComparatorLevenshtein similarity","[3] AlbumTitleComparatorLevenshtein postproccesedSimilarity"
"WekaMatchingRule","deezer_11911","musico_4627",,"0","r. kelly","céline dion","r. kelly","céline dion","0.0","0.0","forever more","the power of love","forever more","the power of love","0.2941176470588235","0.2941176470588235","2003-02-17T00:00","1993-11-09T00:00","2003-02-17T00:00","1993-11-09T00:00","0.0","0.0",,,"chocolate factory","the colour of my love","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","deezer_2359","musico_4402","8.744630787428685E-4",,"dusty springfield","shai","dusty springfield","shai","0.0","0.0","i don't want to hear it anymore","i don't wanna be alone","i dont want to hear it anymore","i dont wanna be alone","0.5483870967741935","0.5483870967741935","1990-08-20T00:00","1995-01-01T00:00","1990-08-20T00:00","1995-01-01T00:00","0.0","0.0",,,"dusty in memphis","blackface","0.0625","0.0625"
"WekaMatchingRule","deezer_5889","musico_6255","0.001376014927467309",,"the feeling","zz top","the feeling","zz top","0.0","0.0","strange","stages","strange","stages","0.5714285714285714","0.5714285714285714","2011-12-05T00:00","1985-10-28T00:00","2011-12-05T00:00","1985-10-28T00:00","0.0","0.0",,,"the feeling  singles 2006  2011","afterburner","0.12903225806451613","0.12903225806451613"
"WekaMatchingRule","deezer_10881","musico_8584",,"0","the pipettes","george harrison","the pipettes","george harrison","0.0","0.0","i love you","dark horse","i love you","dark horse","0.0","0.0","2006-07-15T00:00","1974-12-09T00:00","2006-07-15T00:00","1974-12-09T00:00","0.0","0.0",,,"we are the pipettes","dark horse remastered","0.23809523809523814","0.23809523809523814"
"WekaMatchingRule","deezer_17911","musico_371",,"0","the sound","eminem","the sound","eminem","0.0","0.0","possession","believe","possession","believe","0.09999999999999998","0.09999999999999998","2012-07-23T00:00","2017-12-15T00:00","2012-07-23T00:00","2017-12-15T00:00","0.0","0.0",,,"from the lions mouth","revival","0.15000000000000002","0.15000000000000002"
"WekaMatchingRule","deezer_23925","musico_10090","0.9143046938341629","1","the beatles","the beatles","the beatles","the beatles","1.0","1.0","yellow submarine","yellow submarine","yellow submarine","yellow submarine","1.0","1.0","2018-03-22T00:00","2014-01-01T00:00","2018-03-22T00:00","2014-01-01T00:00","0.0","0.0",,,"yellow submarine songtrack","yellow submarine songtrack","1.0","1.0"
"WekaMatchingRule","deezer_23667","musico_3452",,"0","heather nova","craig david","heather nova","craig david","0.0","0.0","after all this time","walking away","after all this time","walking away","0.1578947368421053","0.1578947368421053","2019-06-28T00:00","2001-01-01T00:00","2019-06-28T00:00","2001-01-01T00:00","0.0","0.0",,,"pearl","born to do it","0.0","0.0"
"WekaMatchingRule","deezer_3817","musico_3139","3.666562984350922E-4",,"melanie c","george strait","melanie c","george strait","0.0","0.0","melt","meanwhile","melt","meanwhile","0.33333333333333337","0.33333333333333337","2003-03-01T00:00","2017-12-01T00:00","2003-03-01T00:00","2017-12-01T00:00","0.0","0.0",,,"reason","strait out of the box part 2","0.1071428571428571","0.1071428571428571"
"WekaMatchingRule","deezer_15964","musico_3536","0.0011570646346570443",,"baasik","darren hayes","baasik","darren hayes","0.0","0.0","insane","insatiable","insane","insatiable","0.5","0.5","2021-06-11T00:00","2002-03-18T00:00","2021-06-11T00:00","2002-03-18T00:00","0.0","0.0",,,"insane","spin","0.16666666666666663","0.16666666666666663"
"WekaMatchingRule","deezer_14065","musico_5954",,"0","the smashing pumpkins","sting","the smashing pumpkins","sting","0.0","0.0","perfect","we'll be together","perfect","well be together","0.17647058823529416","0.17647058823529416","2014-09-23T00:00","1994-01-01T00:00","2014-09-23T00:00","1994-01-01T00:00","0.0","0.0",,,"adore 2014 remaster","fields of gold  the best of sting 1984  1994","0.15909090909090906","0.15909090909090906"
