"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongDateComparator2Years record1Value","[0] SongDateComparator2Years record2Value","[0] SongDateComparator2Years record1PreprocessedValue","[0] SongDateComparator2Years record2PreprocessedValue","[0] SongDateComparator2Years similarity","[0] SongDateComparator2Years postproccesedSimilarity","[1] AlbumTitleComparatorContainment record1Value","[1] AlbumTitleComparatorContainment record2Value","[1] AlbumTitleComparatorContainment record1PreprocessedValue","[1] AlbumTitleComparatorContainment record2PreprocessedValue","[1] AlbumTitleComparatorContainment similarity","[1] AlbumTitleComparatorContainment postproccesedSimilarity","[2] SongArtistsComparatorGenMaxContainment record1Value","[2] SongArtistsComparatorGenMaxContainment record2Value","[2] SongArtistsComparatorGenMaxContainment record1PreprocessedValue","[2] SongArtistsComparatorGenMaxContainment record2PreprocessedValue","[2] SongArtistsComparatorGenMaxContainment similarity","[2] SongArtistsComparatorGenMaxContainment postproccesedSimilarity","[3] SongTrackAnomalityComparatorLevenshteinSimilarity record1Value","[3] SongTrackAnomalityComparatorLevenshteinSimilarity record2Value","[3] SongTrackAnomalityComparatorLevenshteinSimilarity record1PreprocessedValue","[3] SongTrackAnomalityComparatorLevenshteinSimilarity record2PreprocessedValue","[3] SongTrackAnomalityComparatorLevenshteinSimilarity similarity","[3] SongTrackAnomalityComparatorLevenshteinSimilarity postproccesedSimilarity"
"LinearCombinationMatchingRule","spotify_6768","deezer_13138","0.08333333333333334",,"2015-05-18T00:00","2005-08-03T00:00","2015-05-18T00:00","2005-08-03T00:00","0.0","0.0",,,"true colors","the rolling stones singles collection the london years","0.0","0.0","zedd","the rolling stones","zedd","the rolling stones","0.0","0.0","daisy","dandelion","daisy","dandelion","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","spotify_38178","deezer_15491","0.0625",,"2016-11-25T00:00","2015-08-07T00:00","2016-11-25T00:00","2015-08-07T00:00","0.0","0.0",,,"starboy","reality","0.0","0.0","the weeknd","lost frequencies,janieck","the weeknd","lost frequencies,janieck","0.0","0.0","reminder","reality","reminder","reality","0.25","0.25"
"LinearCombinationMatchingRule","spotify_11045","deezer_12724","0.1",,"2020-05-15T00:00","2006-01-01T00:00","2020-05-15T00:00","2006-01-01T00:00","0.0","0.0",,,"set my heart on fire immediately","ifeellikeimfixintodie","0.0","0.0","perfume genius","country joe & the fish","perfume genius","country joe  the fish","0.0","0.0","jason","janis","jason","janis","0.4","0.4"
"LinearCombinationMatchingRule","spotify_23101","deezer_422","0.1",,"2021-09-03T00:00","1998-06-29T00:00","2021-09-03T00:00","1998-06-29T00:00","0.0","0.0",,,"perception","system of a down","0.0","0.0","cloudi","system of a down","cloudi","system of a down","0.0","0.0","perception","peephole","perception","peephole","0.4","0.4"
"LinearCombinationMatchingRule","spotify_6451","deezer_11276","0.1111111111111111",,"2021-06-18T00:00","2015-01-21T00:00","2021-06-18T00:00","2015-01-21T00:00","0.0","0.0",,,"reflections","children running through","0.0","0.0","two lanes","patty griffin","two lanes","patty griffin","0.0","0.0","transcend","trapeze","transcend","trapeze","0.4444444444444444","0.4444444444444444"
"LinearCombinationMatchingRule","spotify_1884","deezer_7917","0.10714285714285715",,"2022-08-05T00:00","2014-09-01T00:00","2022-08-05T00:00","2014-09-01T00:00","0.0","0.0",,,"faster","various failures","0.0","0.0","lil tecca","swans","lil tecca","swans","0.0","0.0","faster","failure","faster","failure","0.4285714285714286","0.4285714285714286"
"LinearCombinationMatchingRule","spotify_42484","deezer_4009","0.16666666666666669",,"1986-01-01T00:00","1996-01-09T00:00","1986-01-01T00:00","1996-01-09T00:00","0.0","0.0",,,"three hearts in the happy ending machine","grown man","0.0","0.0","daryl hall","loudon wainwright iii","daryl hall","loudon wainwright iii","0.0","0.0","dreamtime","dreaming","dreamtime","dreaming","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","spotify_37945","deezer_14233","0.375",,"2018-10-19T00:00","2018-08-03T00:00","2018-10-19T00:00","2018-08-03T00:00","1.0","1.0",,,"future  juice wrld present wrld on drugs","astroworld","0.0","0.0","future,juice wrld","travis scott","future,juice wrld","travis scott","0.0","0.0","astronauts","astrothunder","astronauts","astrothunder","0.5","0.5"
"LinearCombinationMatchingRule","spotify_30837","deezer_4309","0.125",,"2022-09-09T00:00","2009-09-14T00:00","2022-09-09T00:00","2009-09-14T00:00","0.0","0.0",,,"notedep","teenage dirtbag","0.0","0.0","notd","new found glory","notd","new found glory","0.0","0.0","killing me","kiss me","killing me","kiss me","0.5","0.5"
"LinearCombinationMatchingRule","spotify_22708","deezer_2034","0.09375",,"2022-09-16T00:00","2006-10-06T00:00","2022-09-16T00:00","2006-10-06T00:00","0.0","0.0",,,"navigate","the information","0.0","0.0","tina says","beck","tina says","beck","0.0","0.0","navigate","nausea","navigate","nausea","0.375","0.375"
