"Blocking Key Value","Frequency"
"HOCAI","80"
"TI,VI","78"
"IM,HODOYO","77"
"IWABE","75"
"EM,HECOTH,I'BETH,WIYO,WHAMI,IDOKN,JUALI","72"
"PH,IFYOGO","70"
"WHARYO,WHYOWA","66"
"OV,WAONTH","65"
"VE","64"
"AD,AT,YO","60"
"FA","1189"
"GI","56"
"CR","1116"
"CI,IJUWA,IFYOWA","55"
"PA","1092"
"SO","1075"
"BR","975"
"IDOWA","936"
"IN","924"
"UN","880"
"MI","840"
"HA","820"
"ST","3240"
"RE","2937"
"SU","2835"
"MA","2145"
"CO","1944"
"HE","1736"
"CH","1716"
"HO","1705"
"CA","1508"
"AN","1350"
"BE","817"
"SE","800"
"TO","782"
"MO","774"
"LO","736"
"SH","680"
"DE,GO","672"
"ME","665"
"TR","648"
"BA","640"
"DA","588"
"FR","578"
"DR","527"
"LI","496"
"BL","492"
"RO","490"
"SA","480"
"WA","476"
"PR","434"
"AL","432"
"DI","416"
"FI","408"
"PE","399"
"WI","390"
"WO","384"
"FO","364"
"BU","360"
"SI","351"
"RU","345"
"EV","336"
"SP","319"
"BO,TE","286"
"DO","270"
"WHDOYO","253"
"LA","252"
"AM","243"
"WH","242"
"RA","230"
"SL","216"
"ROANRO","208"
"LE","200"
"CL,GR","198"
"HU","192"
"NO","187"
"FE","182"
"JA,LU,IWATO","180"
"ILOYO","171"
"RI","169"
"PO","168"
"JE,JO","154"
"ALIWA","153"
"NA","152"
"TH","150"
"HI","144"
"EL","140"
"SM","136"
"JU,DOYOWA","135"
"TA","128"
"NI","126"
"FL","120"
"CE","112"
"BI","105"
"DOLEME","102"
"YOMAME,IWAYO","98"
"HOON","96"
"GA","91"
"SW,INEYO,LOISA","90"
"ICAST,THTHWA","84"
